Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group,TN,Healthcare Provider,3812,07/26/2019,Hacking/IT Incident,Email,No
Laboratory of Dermatopathology,NY,Healthcare Provider,4082,07/25/2019,Hacking/IT Incident,Network Server,No
Arizona Dermatopathology,AZ,Healthcare Provider,5903,07/25/2019,Hacking/IT Incident,Network Server,No
"Laboratory Medicine Consultants, Ltd.",NV,Healthcare Provider,140590,07/25/2019,Hacking/IT Incident,Network Server,No
Seacoast Pathology,NH,Healthcare Provider,8992,07/25/2019,Hacking/IT Incident,Network Server,No
Austin Pathology,TX,Healthcare Provider,43676,07/25/2019,Hacking/IT Incident,Network Server,No
Western Pathology,NV,Healthcare Provider,4079,07/25/2019,Hacking/IT Incident,Network Server,No
"Pathology Solutions, LLC",NJ,Healthcare Provider,13270,07/25/2019,Hacking/IT Incident,Network Server,No
"Hennepin Healthcare System, Inc. dba Hennepin Healthcare",MN,Healthcare Provider,820,07/25/2019,Hacking/IT Incident,Email,Yes
"Susan Marshall, M.D.,PC",NY,Healthcare Provider,774,07/25/2019,Theft,Laptop,No
Temple University Health System,PA,Healthcare Provider,2399,07/25/2019,Hacking/IT Incident,Email,Yes
Wayne County Board of Developmental Disabilities,OH,Healthcare Provider,536,07/25/2019,Hacking/IT Incident,Network Server,No
RCCA MSO LLC,NJ,Business Associate,102000,07/23/2019,Hacking/IT Incident,Email,Yes
"Cosmetic Surgery Specialists, P.C.",PA,Healthcare Provider,3000,07/23/2019,Improper Disposal,Paper/Films,Yes
City of Philadelphia,PA,Health Plan,1458,07/19/2019,Loss,Laptop,No
Bayamon Medical Center Corp.,NA,Healthcare Provider,422496,07/19/2019,Hacking/IT Incident,Network Server,No
"Puerto Rico Women And Children's Hospital, LLC",NA,Healthcare Provider,99943,07/19/2019,Hacking/IT Incident,Network Server,No
"Security Health Plan of Wisconsin, Inc.",WI,Health Plan,3657,07/19/2019,Hacking/IT Incident,Email,Yes
"Imperial Health, LLP",LA,Healthcare Provider,116262,07/18/2019,Hacking/IT Incident,"Desktop Computer, Network Server",No
Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center,MD,Healthcare Provider,2696,07/17/2019,Hacking/IT Incident,Email,No
"Associates in Dermatology, PLLC",KY,Healthcare Provider,9020,07/16/2019,Hacking/IT Incident,Email,No
"Northwood, Inc.",MI,Business Associate,583,07/16/2019,Unauthorized Access/Disclosure,Email,Yes
"Northwood, Inc.",MI,Business Associate,3881,07/16/2019,Unauthorized Access/Disclosure,Email,Yes
Comprehensive Cancer Centers of Nevada,NV,Healthcare Provider,2251,07/16/2019,Theft,Paper/Films,No
Brewer Porch Children's Center / The University of Alabama,AL,Healthcare Provider,727,07/16/2019,Hacking/IT Incident,Network Server,No
"Northwood, Inc",MI,Business Associate,5563,07/15/2019,Unauthorized Access/Disclosure,Email,Yes
"Sunrise Medical Laboratories, Inc.",NY,Healthcare Provider,401901,07/15/2019,Hacking/IT Incident,Network Server,No
"CBLPath, Inc.",NY,Healthcare Provider,141956,07/15/2019,Unauthorized Access/Disclosure,Network Server,No
"Clinical Pathology Laboratories, Inc.",TX,Healthcare Provider,1733836,07/15/2019,Hacking/IT Incident,Network Server,No
Colorado Eye Center,CO,Healthcare Provider,4478,07/15/2019,Hacking/IT Incident,Other,No
Memphis Pathology Laboratory d/b/a American Esoteric Laboratories,TN,Healthcare Provider,417146,07/15/2019,Hacking/IT Incident,Network Server,No
"Natera, Inc.",CA,Healthcare Provider,3035,07/15/2019,Hacking/IT Incident,Network Server,Yes
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,10251784,07/13/2019,Hacking/IT Incident,Network Server,Yes
Wise Health System,TX,Healthcare Provider,35899,07/13/2019,Hacking/IT Incident,Email,No
"Northwood, Inc.",MI,Business Associate,5000,07/12/2019,Unauthorized Access/Disclosure,Email,Yes
"Rogerson House, Inc.",MA,Healthcare Provider,500,07/12/2019,Hacking/IT Incident,Network Server,Yes
CentraCare Health System,MN,Healthcare Provider,2085,07/12/2019,Hacking/IT Incident,Network Server,Yes
"Penobscot Community Health Center, Inc.",ME,Healthcare Provider,13299,07/12/2019,Hacking/IT Incident,Other,Yes
Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center,PA,Healthcare Provider,3904,07/12/2019,Hacking/IT Incident,Email,No
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,4559,07/12/2019,Hacking/IT Incident,Email,No
Hunt Regional Medical Center,TX,Healthcare Provider,3700,07/12/2019,Hacking/IT Incident,Network Server,No
"CareCentrix, Inc.",CT,Healthcare Provider,467621,07/11/2019,Hacking/IT Incident,Network Server,Yes
Essentia Health - Duluth,MN,Healthcare Provider,1377,07/10/2019,Hacking/IT Incident,Email,Yes
"Benefitfocus.com, Inc.",SC,Business Associate,827,07/10/2019,Unauthorized Access/Disclosure,Paper/Films,Yes
St. Croix Hospice,MN,Healthcare Provider,21407,07/09/2019,Hacking/IT Incident,Email,No
Nemadji Research Corporation d/b/a California Reimbursement Enterprises,MN,Business Associate,14591,07/08/2019,Hacking/IT Incident,Email,Yes
Ameritas Life Insurance Corp.,NE,Health Plan,39675,07/08/2019,Hacking/IT Incident,Email,No
Multnomah County Department of Human Services,OR,Business Associate,713,07/08/2019,Unauthorized Access/Disclosure,Other,Yes
"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies",OH,Healthcare Provider,6572,07/05/2019,Hacking/IT Incident,Network Server,No
Alive Hospice,TN,Healthcare Provider,608,07/03/2019,Hacking/IT Incident,Email,No
Mercy Health System Corporation,WI,Healthcare Provider,5946,07/02/2019,Hacking/IT Incident,Email,Yes
"Adirondacks ACO, LLC",NY,Business Associate,39649,07/02/2019,Hacking/IT Incident,Email,Yes
Memorial Hermann Health System,TX,Healthcare Provider,507,07/02/2019,Unauthorized Access/Disclosure,Email,No
"Henderson County Urgent Care Centers, Inc. dba Margaret R. Pardee Memorial Hospital",NC,Healthcare Provider,590,07/01/2019,Theft,Paper/Films,No
"Optum360, LLC",MN,Business Associate,11500000,07/01/2019,Hacking/IT Incident,Network Server,Yes
Summa Health,OH,Healthcare Provider,7989,06/28/2019,Hacking/IT Incident,Email,No
Summa Health,OH,Healthcare Provider,2904,06/28/2019,Hacking/IT Incident,Email,No
Southwest Gastroenterology,IL,Healthcare Provider,1600,06/28/2019,Theft,Electronic Medical Record,No
Byham's Insurance Services Inc.,PA,Healthcare Clearing House,1600,06/27/2019,Unauthorized Access/Disclosure,"Desktop Computer, Email, Network Server",No
Wyoming Department of Health,WY,Health Plan,2154,06/25/2019,Unauthorized Access/Disclosure,Email,No
Addison County Home Health & Hospice,VT,Healthcare Provider,758,06/25/2019,Hacking/IT Incident,Email,No
University of Iowa Hospitals & Clinics,IA,Healthcare Provider,950,06/25/2019,Unauthorized Access/Disclosure,Email,No
"Franciscan Alliance, Inc.",IN,Healthcare Provider,2180,06/24/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.",VA,Health Plan,2964778,06/21/2019,Hacking/IT Incident,Network Server,No
Adventist Health Physician Services,CA,Healthcare Provider,3797,06/21/2019,Improper Disposal,Paper/Films,No
Boulevard Surgical Associates,CA,Healthcare Provider,542,06/20/2019,Theft,Paper/Films,No
Community Physicians Group,AR,Healthcare Provider,5400,06/20/2019,Hacking/IT Incident,Email,No
"EyeCare Partners, LLC",MO,Healthcare Provider,141165,06/19/2019,Hacking/IT Incident,Network Server,No
Henry Ford Health System,MI,Healthcare Provider,1404,06/19/2019,Unauthorized Access/Disclosure,Email,No
Huntridge Family Clinic,NV,Healthcare Provider,2000,06/18/2019,Unauthorized Access/Disclosure,Paper/Films,No
Clear Dermatology and Aesthetics Center,AZ,Healthcare Provider,1282,06/17/2019,Theft,"Laptop, Other Portable Electronic Device",No
Community Healthlink,MA,Healthcare Provider,4598,06/17/2019,Hacking/IT Incident,Email,No
"Inform Diagnostics, Inc.",TX,Healthcare Provider,173617,06/14/2019,Hacking/IT Incident,Network Server,Yes
"Desert Healthcare Services, LLC",AZ,Healthcare Provider,8000,06/11/2019,Hacking/IT Incident,Network Server,No
Kansas City VAMC,MO,Healthcare Provider,534,06/11/2019,Unauthorized Access/Disclosure,Paper/Films,No
"Sunshine State Health Plan, Inc.",FL,Health Plan,2000,06/07/2019,Unauthorized Access/Disclosure,Other,Yes
"TenX Systems, LLC d/b/a ResiDex Software",MN,Business Associate,90000,06/07/2019,Hacking/IT Incident,Network Server,Yes
Kingman Healthcare Incorporated,AZ,Healthcare Provider,1100,06/07/2019,Unauthorized Access/Disclosure,Other,No
Elim Care,MN,Healthcare Provider,2500,06/07/2019,Hacking/IT Incident,Network Server,Yes
Worcester Eye Consultants,MA,Healthcare Provider,2634,06/07/2019,Loss,Other,Yes
CAPITOL CARDIOLOGY ASSOCIATES,MD,Healthcare Provider,1980,06/07/2019,Unauthorized Access/Disclosure,Desktop Computer,Yes
SOUTHERN MARYLAND MEDICAL GROUP LLC,MD,Healthcare Provider,1400,06/07/2019,Unauthorized Access/Disclosure,Desktop Computer,Yes
Shingle Springs Health and Wellness Center,CA,Healthcare Provider,21513,06/05/2019,Hacking/IT Incident,Network Server,No
Rosenbaum Dental Group,FL,Healthcare Provider,1200,06/04/2019,Hacking/IT Incident,Desktop Computer,No
Humana Inc,KY,Health Plan,863,06/03/2019,Unauthorized Access/Disclosure,Network Server,No
"Health Quest Systems, Inc.",NY,Healthcare Provider,372043,05/31/2019,Hacking/IT Incident,Email,No
City of Georgetown Fire Department,TX,Healthcare Provider,719,05/31/2019,Loss,Other Portable Electronic Device,No
"Broome County, New York",NY,Healthcare Provider,7048,05/31/2019,Hacking/IT Incident,Email,No
"Cerpassrx, LLC",TX,Health Plan,2513,05/31/2019,Hacking/IT Incident,Email,No
The Union Labor Life Insurance Company,MD,Health Plan,87400,05/31/2019,Hacking/IT Incident,Email,No
Capital City Paincare,OH,Healthcare Provider,1012,05/31/2019,Hacking/IT Incident,Network Server,No
"Takai, Hoover, and Hsu, P.A.",MD,Healthcare Provider,16542,05/29/2019,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No
Sunshine Family Dentistry,TX,Healthcare Provider,800,05/27/2019,Theft,Network Server,No
Monroe County Hospital,GA,Healthcare Provider,10970,05/25/2019,Hacking/IT Incident,Email,No
"Huggins Insurance Services, Inc.",OR,Business Associate,667,05/24/2019,Hacking/IT Incident,Email,Yes
Maranatha Village Inc.,MO,Healthcare Provider,520,05/24/2019,Hacking/IT Incident,Email,No
Healthfirst,NY,Health Plan,1811,05/24/2019,Unauthorized Access/Disclosure,Paper/Films,No
"Talley Medical Surgical Eyecare Associates, PC",IN,Healthcare Provider,106000,05/24/2019,Hacking/IT Incident,Network Server,No
Farmacia La Amistad Inc.,NA,Healthcare Provider,2500,05/24/2019,Hacking/IT Incident,Network Server,No
TriHealth Physician Practices,OH,Healthcare Provider,2433,05/24/2019,Unauthorized Access/Disclosure,Email,No
Mercy Health Saint Mary's,MI,Healthcare Provider,976,05/24/2019,Hacking/IT Incident,Network Server,No
Centura Health,CO,Healthcare Provider,7515,05/22/2019,Hacking/IT Incident,Email,No
Northwestern Health Sciences University,MN,Healthcare Provider,1198,05/21/2019,Hacking/IT Incident,Email,No
"Hematology Oncology Associates, PC",OR,Healthcare Provider,16073,05/21/2019,Hacking/IT Incident,Email,No
Penn Medicine,PA,Healthcare Provider,917,05/21/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Special Health Resources for Texas, Inc.",TX,Healthcare Provider,567,05/21/2019,Unauthorized Access/Disclosure,Electronic Medical Record,No
Acadia Montana Treatment Center,MT,Healthcare Provider,14794,05/17/2019,Hacking/IT Incident,Email,No
Cigna,CT,Health Plan,3720,05/16/2019,Hacking/IT Incident,Other,Yes
Aeroflow Inc.,NC,Healthcare Provider,4450,05/16/2019,Hacking/IT Incident,Network Server,No
"Communities Connected for Kids, Inc.",FL,Business Associate,192041,05/15/2019,Hacking/IT Incident,Network Server,Yes
Aging Disability and Transit Services of Rockingham County,NC,Healthcare Provider,14000,05/15/2019,Hacking/IT Incident,Network Server,No
"Youth Opportunity Center, Inc.",IN,Healthcare Provider,1150,05/14/2019,Unauthorized Access/Disclosure,Paper/Films,No
"Health Net, LLC.",CA,Health Plan,2404,05/13/2019,Unauthorized Access/Disclosure,Paper/Films,No
Professional Dental Alliance of Florida PLLC d/b/a All Smiles Dentistry,FL,Healthcare Provider,1505,05/13/2019,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No
Encompass Family and internal medicine group,CA,Healthcare Provider,507,05/13/2019,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No
Memorial Hermann Health System,TX,Healthcare Provider,604,05/13/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Email",No
Midwest Medical Center,IL,Healthcare Provider,8010,05/10/2019,Hacking/IT Incident,Email,Yes
University Medical Center Physicians,TX,Healthcare Provider,3300,05/10/2019,Unauthorized Access/Disclosure,"Network Server, Other",No
Cancer Treatment Centers of America® (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,16819,05/10/2019,Hacking/IT Incident,Email,No
United Seating and Mobility LLC dba Numotion,CT,Healthcare Provider,3578,05/09/2019,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No
"Fort HealthCare, Inc.",WI,Healthcare Provider,19000,05/08/2019,Hacking/IT Incident,Email,Yes
Bloodworks Northwest,WA,Healthcare Provider,1893,05/08/2019,Loss,Paper/Films,No
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,20536,05/08/2019,Unauthorized Access/Disclosure,Other,No
"Independent Health Association, Inc.",NY,Health Plan,7605,05/08/2019,Unauthorized Access/Disclosure,Email,No
"Inmediata Health Group, Corp.",NA,Healthcare Clearing House,1565338,05/07/2019,Unauthorized Access/Disclosure,Network Server,No
"Hospice Care Plus, Inc.",KY,Healthcare Provider,2033,05/06/2019,Unauthorized Access/Disclosure,Laptop,No
"American Indian Health & Services, Inc.",CA,Healthcare Provider,3784,05/06/2019,Unauthorized Access/Disclosure,Email,No
"Community Health Network, Inc.",IN,Healthcare Provider,3600,05/06/2019,Hacking/IT Incident,Email,No
Spectrum Health Lakeland,MI,Healthcare Provider,1100,05/06/2019,Hacking/IT Incident,Email,Yes
"American Medical Response, Inc.",TX,Healthcare Provider,4300,05/06/2019,Hacking/IT Incident,Email,Yes
American Baptist Homes of the Midwest,MN,Healthcare Provider,10993,05/06/2019,Hacking/IT Incident,"Email, Network Server",No
"Verity Health System of California, Inc.",CA,Business Associate,662,05/03/2019,Hacking/IT Incident,Email,Yes
Kelsey Research Foundation,TX,Business Associate,1228,05/03/2019,Unauthorized Access/Disclosure,Email,Yes
"OS, Inc.",WI,Business Associate,7880,05/02/2019,Hacking/IT Incident,Email,Yes
"Inspira Behavioral Care, Corp",NA,Healthcare Provider,4246,05/02/2019,Theft,Desktop Computer,No
The Southeastern Council on Alcoholism and Drug Dependence,CT,Healthcare Provider,25148,05/01/2019,Hacking/IT Incident,Network Server,No
AA OBGYN PLLC,TX,Healthcare Provider,930,04/30/2019,Unauthorized Access/Disclosure,Other,No
The City of Fort Lauderdale,FL,Health Plan,757,04/29/2019,Unauthorized Access/Disclosure,Other,No
Partners In Care,OR,Healthcare Provider,3048,04/26/2019,Hacking/IT Incident,Email,No
"Medical Oncology Hematology Consultants, PA",DE,Healthcare Provider,8591,04/26/2019,Hacking/IT Incident,Email,No
Health Care Service Corporation,IL,Health Plan,1182,04/24/2019,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Logansport Memorial Hospital,IN,Healthcare Provider,7877,04/23/2019,Hacking/IT Incident,Email,No
"Doctors Management Services, Inc.",MA,Business Associate,206695,04/22/2019,Hacking/IT Incident,Network Server,Yes
"LISA ROSE DURSO, M.D. PLLC",NY,Healthcare Provider,537,04/22/2019,Hacking/IT Incident,Network Server,No
Area Agency on Aging and Disabilities of Southwest Washington,WA,Health Plan,7000,04/22/2019,Unauthorized Access/Disclosure,Email,No
"EmCare, Inc.",FL,Healthcare Provider,31236,04/20/2019,Hacking/IT Incident,Email,No
"Bodybuilding.com LLC, operated by Vitalize, LLC (“Vitalize, LLC”)",ID,Health Plan,3193,04/19/2019,Hacking/IT Incident,Network Server,No
"People, Inc.",NY,Healthcare Provider,970,04/19/2019,Hacking/IT Incident,Email,No
"Blue Cross of Idaho Health Service, Inc.",ID,Health Plan,6045,04/19/2019,Unauthorized Access/Disclosure,Other,No
"Partners For Quality, Inc.",PA,Healthcare Provider,3673,04/19/2019,Hacking/IT Incident,Email,No
"KIM P. KORNEGAY, DMD",AL,Healthcare Provider,27000,04/19/2019,Theft,"Desktop Computer, Electronic Medical Record, Paper/Films",No
AltaMed Health Services Corporation,CA,Healthcare Provider,5500,04/18/2019,Hacking/IT Incident,Network Server,Yes
"Pediatric Orthopedic Specialties, PA, dba ActivYouth Orthopaedics",NJ,Healthcare Provider,24176,04/18/2019,Hacking/IT Incident,Network Server,No
Gary W Peer MD,CA,Healthcare Provider,3400,04/18/2019,Hacking/IT Incident,Network Server,No
ELENA MARIA BURUIANA PHYSICIAN P.C.,NY,Healthcare Provider,1308,04/18/2019,Hacking/IT Incident,Network Server,No
Madison Parish Hospital Service District,LA,Healthcare Provider,1436,04/18/2019,Unauthorized Access/Disclosure,"Desktop Computer, Email",No
Alana Healthcare,TN,Healthcare Provider,2691,04/18/2019,Hacking/IT Incident,Email,No
Center for Sight & Hearing,IL,Healthcare Provider,5319,04/18/2019,Hacking/IT Incident,Email,No
Delta Dental of Illinois,IL,Business Associate,4216,04/17/2019,Hacking/IT Incident,Email,Yes
"Centrelake Medical Group, Inc.",CA,Healthcare Provider,197661,04/16/2019,Hacking/IT Incident,Network Server,No
Gardner Family Health Network,CA,Healthcare Provider,5064,04/16/2019,Unauthorized Access/Disclosure,Paper/Films,No
"Tower Imaging, LLC",FL,Healthcare Provider,810,04/16/2019,Theft,Laptop,No
Delta Dental of Illinois,IL,Health Plan,5092,04/16/2019,Hacking/IT Incident,Email,No
Minnesota Eye Consultants,MN,Healthcare Provider,4556,04/16/2019,Improper Disposal,Paper/Films,No
